Unnamed: 0,session__sessionId,Experiment,Answer,Type,lvlAfter,lvlBefore,Course
461,112,curated,True,curated,0.0,0.0,CS
462,112,curated,True,curated,0.0,0.0,CS
463,112,curated,False,curated,0.0,0.0,CS
464,112,curated,False,curated,0.0,0.0,CS
465,870,curated,True,curated,1.0,1.0,CS
466,870,curated,True,curated,1.0,1.0,CS
467,870,curated,True,curated,1.0,1.0,CS
468,870,curated,False,curated,1.0,1.0,CS
469,870,curated,False,curated,1.0,1.0,CS
470,1041,curated,False,curated,1.0,0.0,CS
471,1041,curated,True,curated,1.0,0.0,CS
472,1041,curated,True,curated,1.0,0.0,CS
473,1041,curated,False,curated,1.0,0.0,CS
474,1041,curated,False,curated,1.0,0.0,CS
475,764,curated,False,curated,1.0,0.0,CS
476,764,curated,True,curated,1.0,0.0,CS
477,764,curated,False,curated,1.0,0.0,CS
478,764,curated,False,curated,1.0,0.0,CS
479,764,curated,False,curated,1.0,0.0,CS
480,465,curated,True,curated,3.0,3.0,CS
481,465,curated,False,curated,3.0,3.0,CS
482,465,curated,False,curated,3.0,3.0,CS
483,465,curated,False,curated,3.0,3.0,CS
484,465,curated,False,curated,3.0,3.0,CS
485,22,herd-1,True,herding,1.0,1.0,CS
486,22,herd-1,True,herding,1.0,1.0,CS
487,22,herd-1,True,herding,1.0,1.0,CS
488,22,herd-1,True,herding,1.0,1.0,CS
489,22,herd-1,False,herding,1.0,1.0,CS
490,21,herd-1,True,herding,2.0,1.0,CS
491,21,herd-1,True,herding,2.0,1.0,CS
492,21,herd-1,False,herding,2.0,1.0,CS
493,21,herd-1,True,herding,2.0,1.0,CS
494,21,herd-1,False,herding,2.0,1.0,CS
495,1176,herd-1,True,herding,0.0,0.0,CS
496,1176,herd-1,False,herding,0.0,0.0,CS
497,1176,herd-1,False,herding,0.0,0.0,CS
498,1176,herd-1,False,herding,0.0,0.0,CS
499,1176,herd-1,False,herding,0.0,0.0,CS
500,339,herd-1,False,herding,0.0,0.0,CS
501,339,herd-1,False,herding,0.0,0.0,CS
502,339,herd-1,False,herding,0.0,0.0,CS
503,339,herd-1,False,herding,0.0,0.0,CS
504,339,herd-1,False,herding,0.0,0.0,CS
505,1101,herd-1,True,herding,0.0,0.0,CS
506,1101,herd-1,False,herding,0.0,0.0,CS
507,1101,herd-1,False,herding,0.0,0.0,CS
508,1101,herd-1,True,herding,0.0,0.0,CS
509,1101,herd-1,False,herding,0.0,0.0,CS
510,709,herd-1,True,herding,4.0,4.0,CS
511,709,herd-1,True,herding,4.0,4.0,CS
512,709,herd-1,True,herding,4.0,4.0,CS
513,709,herd-1,True,herding,4.0,4.0,CS
